State,Population,Rape Cases,Year,Kidnapping Cases,Rape_rate,Kidnap_rate,Rape_norm,Kidnap_norm
Andhra Pradesh,49577103,971,2018,1833,1.9585654288835717,3.697271298809049,1.9423993838204496,1.1699830353078515
Andhra Pradesh,49577103,1086,2019,902,2.1905273488852304,1.8193882768825762,2.1989267543178643,0.5449197488727664
Andhra Pradesh,49577103,1095,2020,737,2.2086808904505775,1.486573348184544,2.21900280940027,0.43414054128760093
Andhra Pradesh,49577103,1188,2021,835,2.396267486625832,1.6842452452294359,2.426455378585136,0.49993667670182046
Andhra Pradesh,49577103,621,2022,903,1.2525943680089575,1.8214053370565035,1.1616639083935352,0.5455911380096461
Arunachal Pradesh,1383727,67,2018,180,4.8419955670446555,13.008346299522955,5.131193265808365,4.269223548286767
Arunachal Pradesh,1383727,63,2019,117,4.5529212048330345,8.455425094689922,4.811505077265029,2.753759667978917
Arunachal Pradesh,1383727,60,2020,78,4.336115433174319,5.636950063126614,4.571738935857528,1.8156153611216763
Arunachal Pradesh,1383727,83,2021,85,5.99829301589114,6.14283019699695,6.409946019981707,1.984000236711437
Arunachal Pradesh,1383727,74,2022,70,5.347875700914992,5.058801338703371,5.6906475957592,1.623175503304806
Assam,31205576,1648,2018,5869,5.281107453360258,18.807536191608833,5.616808394144497,6.199514546332892
Assam,31205576,1773,2019,9432,5.681676890053239,30.225367415105556,6.059799313928856,10.0
Assam,31205576,1657,2020,6934,5.309948452802153,22.22038779223303,5.648703740368973,7.335500234841303
Assam,31205576,1733,2021,7580,5.553494670311485,24.290530641062354,5.918042219597862,8.024558220546876
Assam,31205576,1113,2022,4560,3.566670264314301,14.61277305055994,3.7208072574674373,4.80326547003476
Bihar,104099452,651,2018,11257,0.6253635225668623,10.813697655199952,0.4680074691168626,3.5387231506722494
Bihar,104099452,730,2019,10707,0.701252490743179,10.285356737516736,0.5519333025290591,3.362862084509348
Bihar,104099452,806,2020,7889,0.7742595993684961,7.578329999277998,0.6326720789762353,2.461813930969247
Bihar,104099452,786,2021,10198,0.7550472023618338,9.796401233697177,0.6114250325427681,3.2001106614604087
Bihar,104099452,881,2022,11822,0.8463060881434803,11.356447870638167,0.7123485031017387,3.7193804277305027
Chhattisgarh,25545198,2091,2018,2555,8.185491457141964,10.001879805355198,8.828775217834982,3.2685052897694655
Chhattisgarh,25545198,1036,2019,2638,4.055556742993341,10.326794100401962,4.261468254092994,3.376654729697477
Chhattisgarh,25545198,1210,2020,2008,4.736702373573303,7.860577162095201,5.01474921304191,2.5557613904848626
Chhattisgarh,25545198,1093,2021,2681,4.27869065645919,10.495123193016552,4.508232706162466,3.4326839576119887
Chhattisgarh,25545198,1246,2022,2740,4.87762905576226,10.72608636660401,5.1706004459278905,3.5095612703319
Goa,1458545,61,2018,77,4.182250119125567,5.279233756928995,4.401578831891313,1.6965475984588443
Goa,1458545,72,2019,71,4.936426370115424,4.867864892752709,5.2356245690392145,1.5596212983768976
Goa,1458545,60,2020,45,4.113688641762852,3.0852664813221398,4.325756492150594,0.9662739980217954
Goa,1458545,72,2021,52,4.936426370115424,3.565196822861139,5.2356245690392145,1.1260213481173997
Goa,1458545,73,2022,84,5.004987847478137,5.759164098467994,5.311446908779932,1.8562949485544487
Gujarat,60439692,553,2018,2345,0.9149616447416707,3.8799006454235405,0.7882748853460496,1.2307721783276537
Gujarat,60439692,528,2019,1813,0.8735980984151938,2.9996843795961103,0.7425308176408708,0.9377875432531615
Gujarat,60439692,486,2020,1198,0.8041073405867125,1.982141139964777,0.6656807838961707,0.5990928993230628
Gujarat,60439692,589,2021,1621,0.9745251514517975,2.6820123438087675,0.8541463428415068,0.8320487275871796
Gujarat,60439692,610,2022,1846,1.0092705303660383,3.05428426074706,0.8925713597138573,0.9559614021957523
Haryana,25351462,1296,2018,5467,5.112131205687467,21.564831251152302,5.429937064179169,7.117294776233147
Haryana,25351462,1480,2019,4023,5.837927611433218,15.868907284321512,6.232597446888111,5.2213763870572425
Haryana,25351462,1373,2020,2949,5.415861223309331,11.632465220349028,5.765832985204106,3.8112542610358275
Haryana,25351462,1716,2021,3554,6.768840392715813,14.018915358806526,7.262096633406101,4.60559679943709
Haryana,25351462,1787,2022,3891,7.048903136237271,15.348227254112604,7.571818846299225,5.048065287769694
Himachal Pradesh,6864602,344,2018,410,5.01121550819698,5.972669646397563,5.318334097110427,1.9273613983294045
Himachal Pradesh,6864602,359,2019,455,5.229727812333475,6.628206558807051,5.559987497811135,2.1455603234306224
Himachal Pradesh,6864602,331,2020,343,4.82183817794535,4.996648021254546,5.108901149836479,1.6024874431787017
Himachal Pradesh,6864602,358,2021,430,5.215160325391042,6.264019385246224,5.543877271097756,2.02433869837439
Himachal Pradesh,6864602,359,2022,413,5.229727812333475,6.0163721072248615,5.559987497811135,1.941907993336152
Jharkhand,32988134,1090,2018,4087,3.304218419871824,12.389303377996464,3.4305609897328724,4.063171840882346
Jharkhand,32988134,1416,2019,1814,4.292452552787617,5.498946984997696,4.523452027843215,1.7696803073690062
Jharkhand,32988134,1321,2020,1564,4.004470213440991,4.741098723559205,4.204971510602471,1.5174265091383266
Jharkhand,32988134,1425,2021,1767,4.319735090199403,5.35647151184726,4.553623866318653,1.7222565933016385
Jharkhand,32988134,1298,2022,1899,3.934748173388649,5.756615393886784,4.127865701165238,1.8554465987674373
Karnataka,61095297,492,2018,3175,0.8052993015157942,5.196799354293997,0.6669989769981711,1.6691088719648561
Karnataka,61095297,505,2019,3080,0.8265775350924311,5.041304570464728,0.6905306381786159,1.6173516115450206
Karnataka,61095297,504,2020,2253,0.8249407478942283,3.687681557550985,0.688720510395505,1.1667910392586631
Karnataka,61095297,555,2021,2879,0.9084168950025727,4.712310343625958,0.7810370273341721,1.5078441447620001
Karnataka,61095297,595,2022,3365,0.9738883829306861,5.507788921952536,0.8534421386586175,1.7726233928045274
Kerala,33406061,1945,2018,1670,5.822296738307458,4.999092829292265,6.215311218262735,1.6033012104522308
Kerala,33406061,2023,2019,386,6.055787301591768,1.155478941381326,6.473529119868548,0.3239340185062274
Kerala,33406061,637,2020,307,1.9068396001551935,0.9189949093369613,1.8851956374883119,0.24521905887715084
Kerala,33406061,771,2021,364,2.3079644140025968,1.0896226286601105,2.3288007505034285,0.30201339683737066
Kerala,33406061,814,2022,403,2.4366835706849725,1.2063679103022653,2.4711516449784288,0.34087268070488946
Madhya Pradesh,72626809,5433,2018,8290,7.480708673294457,11.414517743716372,8.049353861472024,3.7387092918212463
Madhya Pradesh,72626809,2485,2019,9812,3.4216015190754145,13.510162617773831,3.560375304855454,4.4362557613747065
Madhya Pradesh,72626809,2339,2020,7320,3.2205738241921105,10.078922784560175,3.338058185023018,3.2941494524869124
